source = 1
distance[1] = 0, parent[1] = 1, path[1] = 1
distance[41] = 2, parent[41] = 337, path[41] = 1 337 41
distance[42] = 2, parent[42] = 579, path[42] = 1 579 42
distance[43] = 2, parent[43] = 893, path[43] = 1 893 43
distance[44] = 2, parent[44] = 673, path[44] = 1 673 44
distance[45] = 2, parent[45] = 190, path[45] = 1 190 45
distance[46] = 2, parent[46] = 337, path[46] = 1 337 46
distance[47] = 2, parent[47] = 316, path[47] = 1 316 47
distance[48] = 2, parent[48] = 316, path[48] = 1 316 48
distance[49] = 2, parent[49] = 631, path[49] = 1 631 49
distance[50] = 3, parent[50] = 41, path[50] = 1 337 41 50
distance[51] = 3, parent[51] = 144, path[51] = 1 144 51
distance[52] = 1, parent[52] = 1, path[52] = 1 52
distance[53] = 3, parent[53] = 190, path[53] = 1 190 53
distance[54] = 2, parent[54] = 497, path[54] = 1 497 54
distance[55] = 2, parent[55] = 316, path[55] = 1 316 55
distance[56] = 3, parent[56] = 4, path[56] = 1 4 56
distance[57] = 2, parent[57] = 337, path[57] = 1 337 57
distance[58] = 2, parent[58] = 410, path[58] = 1 410 58
distance[59] = 2, parent[59] = 152, path[59] = 1 152 59
distance[60] = 3, parent[60] = 331, path[60] = 1 331 60
distance[61] = 2, parent[61] = 4, path[61] = 1 4 61
distance[62] = 2, parent[62] = 1, path[62] = 1 62
distance[63] = 2, parent[63] = 703, path[63] = 1 703 63
distance[64] = 2, parent[64] = 331, path[64] = 1 331 64
distance[65] = 3, parent[65] = 703, path[65] = 1 703 65
distance[66] = 2, parent[66] = 4, path[66] = 1 4 66
distance[67] = 2, parent[67] = 337, path[67] = 1 337 67
distance[68] = 3, parent[68] = 39, path[68] = 1 603 39 68
distance[69] = 2, parent[69] = 144, path[69] = 1 144 69
distance[70] = 2, parent[70] = 502, path[70] = 1 502 70
distance[71] = 2, parent[71] = 877, path[71] = 1 877 71
distance[72] = 2, parent[72] = 893, path[72] = 1 893 72
distance[73] = 2, parent[73] = 500, path[73] = 1 500 73
distance[74] = 3, parent[74] = 536, path[74] = 1 536 74
distance[75] = 3, parent[75] = 190, path[75] = 1 190 75
distance[76] = 2, parent[76] = 410, path[76] = 1 410 76
distance[77] = 2, parent[77] = 337, path[77] = 1 337 77
distance[78] = 2, parent[78] = 579, path[78] = 1 579 78
distance[79] = 2, parent[79] = 631, path[79] = 1 631 79
distance[80] = 2, parent[80] = 152, path[80] = 1 152 80
distance[81] = 2, parent[81] = 626, path[81] = 1 626 81
distance[82] = 2, parent[82] = 398, path[82] = 1 398 82
distance[83] = 2, parent[83] = 190, path[83] = 1 190 83
distance[84] = 2, parent[84] = 316, path[84] = 1 316 84
distance[85] = 2, parent[85] = 52, path[85] = 1 52 85
distance[86] = 2, parent[86] = 1, path[86] = 1 86
distance[87] = 2, parent[87] = 1, path[87] = 1 87
distance[88] = 2, parent[88] = 398, path[88] = 1 398 88
distance[89] = 3, parent[89] = 595, path[89] = 1 595 89
distance[90] = 2, parent[90] = 579, path[90] = 1 579 90
distance[91] = 2, parent[91] = 522, path[91] = 1 522 91
distance[92] = 2, parent[92] = 579, path[92] = 1 579 92
distance[93] = 3, parent[93] = 152, path[93] = 1 152 93
distance[94] = 2, parent[94] = 536, path[94] = 1 536 94
distance[95] = 2, parent[95] = 261, path[95] = 1 261 95
distance[96] = 2, parent[96] = 398, path[96] = 1 398 96
distance[97] = 2, parent[97] = 626, path[97] = 1 626 97
distance[98] = 3, parent[98] = 703, path[98] = 1 703 98
distance[99] = 2, parent[99] = 626, path[99] = 1 626 99
distance[100] = 2, parent[100] = 144, path[100] = 1 144 100
distance[101] = 3, parent[101] = 190, path[101] = 1 190 101
distance[102] = 2, parent[102] = 874, path[102] = 1 874 102
distance[103] = 2, parent[103] = 823, path[103] = 1 823 103
distance[104] = 2, parent[104] = 316, path[104] = 1 316 104
distance[105] = 2, parent[105] = 52, path[105] = 1 52 105
distance[106] = 2, parent[106] = 410, path[106] = 1 410 106
distance[107] = 2, parent[107] = 495, path[107] = 1 495 107
distance[108] = 2, parent[108] = 337, path[108] = 1 337 108
distance[109] = 2, parent[109] = 585, path[109] = 1 585 109
distance[110] = 2, parent[110] = 261, path[110] = 1 261 110
distance[111] = 3, parent[111] = 144, path[111] = 1 144 111
distance[112] = 2, parent[112] = 152, path[112] = 1 152 112
distance[113] = 2, parent[113] = 703, path[113] = 1 703 113
distance[114] = 2, parent[114] = 497, path[114] = 1 497 114
distance[115] = 2, parent[115] = 673, path[115] = 1 673 115
distance[116] = 2, parent[116] = 595, path[116] = 1 595 116
distance[117] = 2, parent[117] = 893, path[117] = 1 893 117
distance[118] = 2, parent[118] = 969, path[118] = 1 969 118
distance[119] = 3, parent[119] = 398, path[119] = 1 398 119
distance[120] = 2, parent[120] = 495, path[120] = 1 495 120
distance[121] = 3, parent[121] = 782, path[121] = 1 782 121
distance[122] = 2, parent[122] = 190, path[122] = 1 190 122
distance[123] = 2, parent[123] = 398, path[123] = 1 398 123
distance[124] = 2, parent[124] = 337, path[124] = 1 337 124
distance[125] = 2, parent[125] = 631, path[125] = 1 631 125
distance[126] = 2, parent[126] = 261, path[126] = 1 261 126
distance[127] = 2, parent[127] = 874, path[127] = 1 874 127
distance[128] = 2, parent[128] = 874, path[128] = 1 874 128
distance[129] = 2, parent[129] = 152, path[129] = 1 152 129
distance[130] = 3, parent[130] = 152, path[130] = 1 152 130
distance[131] = 3, parent[131] = 261, path[131] = 1 261 131
distance[132] = 2, parent[132] = 4, path[132] = 1 4 132
distance[133] = 3, parent[133] = 500, path[133] = 1 500 133
distance[134] = 2, parent[134] = 190, path[134] = 1 190 134
distance[135] = 2, parent[135] = 316, path[135] = 1 316 135
distance[136] = 2, parent[136] = 144, path[136] = 1 144 136
distance[137] = 3, parent[137] = 579, path[137] = 1 579 137
distance[138] = 2, parent[138] = 522, path[138] = 1 522 138
distance[139] = 2, parent[139] = 331, path[139] = 1 331 139
distance[140] = 3, parent[140] = 579, path[140] = 1 579 140
distance[141] = 2, parent[141] = 522, path[141] = 1 522 141
distance[142] = 3, parent[142] = 331, path[142] = 1 331 142
distance[143] = 2, parent[143] = 337, path[143] = 1 337 143
distance[144] = 1, parent[144] = 1, path[144] = 1 144
distance[145] = 3, parent[145] = 29, path[145] = 1 190 29 145
distance[146] = 2, parent[146] = 261, path[146] = 1 261 146
distance[147] = 3, parent[147] = 52, path[147] = 1 52 147
distance[148] = 3, parent[148] = 1, path[148] = 1 148
distance[149] = 2, parent[149] = 893, path[149] = 1 893 149
distance[150] = 2, parent[150] = 331, path[150] = 1 331 150
distance[151] = 2, parent[151] = 497, path[151] = 1 497 151
distance[152] = 1, parent[152] = 1, path[152] = 1 152
distance[153] = 2, parent[153] = 316, path[153] = 1 316 153
distance[154] = 2, parent[154] = 495, path[154] = 1 495 154
distance[155] = 2, parent[155] = 316, path[155] = 1 316 155
distance[156] = 2, parent[156] = 673, path[156] = 1 673 156
distance[157] = 2, parent[157] = 497, path[157] = 1 497 157
distance[158] = 2, parent[158] = 316, path[158] = 1 316 158
distance[159] = 2, parent[159] = 190, path[159] = 1 190 159
distance[160] = 2, parent[160] = 4, path[160] = 1 4 160
distance[161] = 2, parent[161] = 522, path[161] = 1 522 161
distance[162] = 2, parent[162] = 337, path[162] = 1 337 162
distance[163] = 2, parent[163] = 261, path[163] = 1 261 163
distance[164] = 3, parent[164] = 52, path[164] = 1 52 164
distance[165] = 2, parent[165] = 874, path[165] = 1 874 165
distance[166] = 2, parent[166] = 536, path[166] = 1 536 166
distance[167] = 2, parent[167] = 261, path[167] = 1 261 167
distance[168] = 3, parent[168] = 626, path[168] = 1 626 168
distance[169] = 2, parent[169] = 497, path[169] = 1 497 169
distance[170] = 3, parent[170] = 52, path[170] = 1 52 170
distance[171] = 2, parent[171] = 52, path[171] = 1 52 171
distance[172] = 2, parent[172] = 1, path[172] = 1 172
distance[173] = 2, parent[173] = 398, path[173] = 1 398 173
distance[174] = 3, parent[174] = 5, path[174] = 1 495 5 174
distance[175] = 2, parent[175] = 190, path[175] = 1 190 175
distance[176] = 2, parent[176] = 337, path[176] = 1 337 176
distance[177] = 2, parent[177] = 316, path[177] = 1 316 177
distance[178] = 3, parent[178] = 502, path[178] = 1 502 178
distance[179] = 2, parent[179] = 969, path[179] = 1 969 179
distance[180] = 2, parent[180] = 522, path[180] = 1 522 180
distance[181] = 2, parent[181] = 144, path[181] = 1 144 181
distance[182] = 2, parent[182] = 261, path[182] = 1 261 182
distance[183] = 3, parent[183] = 152, path[183] = 1 152 183
distance[184] = 2, parent[184] = 536, path[184] = 1 536 184
distance[185] = 2, parent[185] = 337, path[185] = 1 337 185
distance[186] = 2, parent[186] = 52, path[186] = 1 52 186
distance[187] = 3, parent[187] = 19, path[187] = 1 316 19 187
distance[188] = 2, parent[188] = 495, path[188] = 1 495 188
distance[189] = 2, parent[189] = 337, path[189] = 1 337 189
distance[190] = 1, parent[190] = 1, path[190] = 1 190
distance[191] = 2, parent[191] = 495, path[191] = 1 495 191
distance[192] = 2, parent[192] = 603, path[192] = 1 603 192
distance[193] = 2, parent[193] = 331, path[193] = 1 331 193
distance[194] = 3, parent[194] = 877, path[194] = 1 877 194
distance[195] = 3, parent[195] = 500, path[195] = 1 500 195
distance[196] = 2, parent[196] = 337, path[196] = 1 337 196
distance[197] = 3, parent[197] = 703, path[197] = 1 703 197
distance[198] = 2, parent[198] = 410, path[198] = 1 410 198
distance[199] = 3, parent[199] = 47, path[199] = 1 316 47 199
distance[200] = 3, parent[200] = 595, path[200] = 1 595 200
distance[201] = 3, parent[201] = 152, path[201] = 1 152 201
distance[202] = 2, parent[202] = 331, path[202] = 1 331 202
distance[203] = 3, parent[203] = 331, path[203] = 1 331 203
distance[204] = 2, parent[204] = 52, path[204] = 1 52 204
distance[205] = 2, parent[205] = 969, path[205] = 1 969 205
distance[206] = 3, parent[206] = 500, path[206] = 1 500 206
distance[207] = 2, parent[207] = 190, path[207] = 1 190 207
distance[208] = 3, parent[208] = 337, path[208] = 1 337 208
distance[209] = 2, parent[209] = 4, path[209] = 1 4 209
distance[210] = 2, parent[210] = 144, path[210] = 1 144 210
distance[211] = 2, parent[211] = 316, path[211] = 1 316 211
distance[212] = 3, parent[212] = 337, path[212] = 1 337 212
distance[213] = 3, parent[213] = 45, path[213] = 1 190 45 213
distance[214] = 2, parent[214] = 316, path[214] = 1 316 214
distance[215] = 2, parent[215] = 703, path[215] = 1 703 215
distance[216] = 2, parent[216] = 500, path[216] = 1 500 216
distance[217] = 3, parent[217] = 144, path[217] = 1 144 217
distance[218] = 2, parent[218] = 4, path[218] = 1 4 218
distance[219] = 2, parent[219] = 500, path[219] = 1 500 219
distance[220] = 2, parent[220] = 595, path[220] = 1 595 220
distance[221] = 2, parent[221] = 316, path[221] = 1 316 221
distance[222] = 2, parent[222] = 823, path[222] = 1 823 222
distance[223] = 3, parent[223] = 595, path[223] = 1 595 223
distance[224] = 2, parent[224] = 190, path[224] = 1 190 224
distance[225] = 2, parent[225] = 316, path[225] = 1 316 225
distance[226] = 2, parent[226] = 497, path[226] = 1 497 226
distance[227] = 2, parent[227] = 1, path[227] = 1 227
distance[228] = 2, parent[228] = 969, path[228] = 1 969 228
distance[229] = 2, parent[229] = 337, path[229] = 1 337 229
distance[230] = 2, parent[230] = 500, path[230] = 1 500 230
distance[231] = 2, parent[231] = 703, path[231] = 1 703 231
distance[232] = 2, parent[232] = 52, path[232] = 1 52 232
distance[233] = 3, parent[233] = 497, path[233] = 1 497 233
distance[234] = 2, parent[234] = 823, path[234] = 1 823 234
distance[235] = 3, parent[235] = 337, path[235] = 1 337 235
distance[236] = 2, parent[236] = 522, path[236] = 1 522 236
distance[237] = 3, parent[237] = 673, path[237] = 1 673 237
distance[238] = 2, parent[238] = 967, path[238] = 1 967 238
distance[239] = 2, parent[239] = 4, path[239] = 1 4 239
distance[240] = 2, parent[240] = 877, path[240] = 1 877 240
distance[241] = 2, parent[241] = 877, path[241] = 1 877 241
distance[242] = 2, parent[242] = 631, path[242] = 1 631 242
distance[243] = 2, parent[243] = 337, path[243] = 1 337 243
distance[244] = 2, parent[244] = 144, path[244] = 1 144 244
distance[245] = 2, parent[245] = 500, path[245] = 1 500 245
distance[246] = 3, parent[246] = 31, path[246] = 1 152 31 246
distance[247] = 2, parent[247] = 52, path[247] = 1 52 247
distance[248] = 2, parent[248] = 595, path[248] = 1 595 248
distance[249] = 2, parent[249] = 410, path[249] = 1 410 249
distance[250] = 2, parent[250] = 337, path[250] = 1 337 250
distance[251] = 2, parent[251] = 261, path[251] = 1 261 251
distance[252] = 3, parent[252] = 47, path[252] = 1 316 47 252
distance[253] = 2, parent[253] = 398, path[253] = 1 398 253
distance[254] = 2, parent[254] = 331, path[254] = 1 331 254
distance[255] = 2, parent[255] = 52, path[255] = 1 52 255
distance[256] = 3, parent[256] = 500, path[256] = 1 500 256
distance[257] = 3, parent[257] = 500, path[257] = 1 500 257
distance[258] = 2, parent[258] = 497, path[258] = 1 497 258
distance[259] = 2, parent[259] = 1, path[259] = 1 259
distance[260] = 2, parent[260] = 398, path[260] = 1 398 260
distance[261] = 1, parent[261] = 1, path[261] = 1 261
distance[262] = 3, parent[262] = 500, path[262] = 1 500 262
distance[263] = 2, parent[263] = 500, path[263] = 1 500 263
distance[264] = 2, parent[264] = 261, path[264] = 1 261 264
distance[265] = 2, parent[265] = 410, path[265] = 1 410 265
distance[266] = 2, parent[266] = 495, path[266] = 1 495 266
distance[267] = 2, parent[267] = 337, path[267] = 1 337 267
distance[268] = 2, parent[268] = 502, path[268] = 1 502 268
distance[269] = 2, parent[269] = 782, path[269] = 1 782 269
distance[270] = 2, parent[270] = 144, path[270] = 1 144 270
distance[271] = 2, parent[271] = 631, path[271] = 1 631 271
distance[272] = 2, parent[272] = 4, path[272] = 1 4 272
distance[273] = 2, parent[273] = 331, path[273] = 1 331 273
distance[274] = 2, parent[274] = 782, path[274] = 1 782 274
distance[275] = 2, parent[275] = 52, path[275] = 1 52 275
distance[276] = 3, parent[276] = 500, path[276] = 1 500 276
distance[277] = 2, parent[277] = 316, path[277] = 1 316 277
distance[278] = 2, parent[278] = 144, path[278] = 1 144 278
distance[279] = 3, parent[279] = 579, path[279] = 1 579 279
distance[280] = 2, parent[280] = 337, path[280] = 1 337 280
distance[281] = 2, parent[281] = 595, path[281] = 1 595 281
distance[282] = 2, parent[282] = 4, path[282] = 1 4 282
distance[283] = 3, parent[283] = 877, path[283] = 1 877 283
distance[284] = 2, parent[284] = 152, path[284] = 1 152 284
distance[285] = 3, parent[285] = 1, path[285] = 1 285
distance[286] = 3, parent[286] = 52, path[286] = 1 52 286
distance[287] = 2, parent[287] = 4, path[287] = 1 4 287
distance[288] = 2, parent[288] = 495, path[288] = 1 495 288
distance[289] = 2, parent[289] = 874, path[289] = 1 874 289
distance[290] = 2, parent[290] = 190, path[290] = 1 190 290
distance[291] = 2, parent[291] = 144, path[291] = 1 144 291
distance[292] = 2, parent[292] = 877, path[292] = 1 877 292
distance[293] = 3, parent[293] = 595, path[293] = 1 595 293
distance[294] = 2, parent[294] = 1, path[294] = 1 294
distance[295] = 3, parent[295] = 595, path[295] = 1 595 295
distance[296] = 2, parent[296] = 337, path[296] = 1 337 296
distance[297] = 2, parent[297] = 1, path[297] = 1 297
distance[298] = 2, parent[298] = 500, path[298] = 1 500 298
distance[299] = 2, parent[299] = 261, path[299] = 1 261 299
distance[300] = 2, parent[300] = 585, path[300] = 1 585 300
distance[301] = 3, parent[301] = 410, path[301] = 1 410 301
distance[302] = 2, parent[302] = 337, path[302] = 1 337 302
distance[303] = 3, parent[303] = 579, path[303] = 1 579 303
distance[304] = 2, parent[304] = 703, path[304] = 1 703 304
distance[305] = 2, parent[305] = 673, path[305] = 1 673 305
distance[306] = 3, parent[306] = 10, path[306] = 1 52 10 306
distance[307] = 2, parent[307] = 585, path[307] = 1 585 307
distance[308] = 2, parent[308] = 497, path[308] = 1 497 308
distance[309] = 2, parent[309] = 152, path[309] = 1 152 309
distance[310] = 2, parent[310] = 522, path[310] = 1 522 310
distance[311] = 2, parent[311] = 536, path[311] = 1 536 311
distance[312] = 2, parent[312] = 823, path[312] = 1 823 312
distance[313] = 2, parent[313] = 152, path[313] = 1 152 313
distance[314] = 3, parent[314] = 10, path[314] = 1 52 10 314
distance[315] = 2, parent[315] = 316, path[315] = 1 316 315
distance[316] = 1, parent[316] = 1, path[316] = 1 316
distance[317] = 2, parent[317] = 585, path[317] = 1 585 317
distance[318] = 2, parent[318] = 261, path[318] = 1 261 318
distance[319] = 2, parent[319] = 631, path[319] = 1 631 319
distance[320] = 2, parent[320] = 52, path[320] = 1 52 320
distance[321] = 3, parent[321] = 4, path[321] = 1 4 321
distance[322] = 2, parent[322] = 495, path[322] = 1 495 322
distance[323] = 2, parent[323] = 398, path[323] = 1 398 323
distance[324] = 2, parent[324] = 877, path[324] = 1 877 324
distance[325] = 2, parent[325] = 536, path[325] = 1 536 325
distance[326] = 2, parent[326] = 967, path[326] = 1 967 326
distance[327] = 2, parent[327] = 500, path[327] = 1 500 327
distance[328] = 2, parent[328] = 969, path[328] = 1 969 328
distance[329] = 2, parent[329] = 579, path[329] = 1 579 329
distance[330] = 3, parent[330] = 631, path[330] = 1 631 330
distance[331] = 1, parent[331] = 1, path[331] = 1 331
distance[332] = 3, parent[332] = 316, path[332] = 1 316 332
distance[333] = 2, parent[333] = 144, path[333] = 1 144 333
distance[334] = 2, parent[334] = 782, path[334] = 1 782 334
distance[335] = 2, parent[335] = 398, path[335] = 1 398 335
distance[336] = 2, parent[336] = 4, path[336] = 1 4 336
distance[337] = 1, parent[337] = 1, path[337] = 1 337
distance[338] = 2, parent[338] = 52, path[338] = 1 52 338
distance[339] = 2, parent[339] = 398, path[339] = 1 398 339
distance[340] = 2, parent[340] = 495, path[340] = 1 495 340
distance[341] = 2, parent[341] = 316, path[341] = 1 316 341
distance[342] = 2, parent[342] = 4, path[342] = 1 4 342
distance[343] = 2, parent[343] = 398, path[343] = 1 398 343
distance[344] = 2, parent[344] = 500, path[344] = 1 500 344
distance[345] = 2, parent[345] = 495, path[345] = 1 495 345
distance[346] = 3, parent[346] = 113, path[346] = 1 703 113 346
distance[347] = 2, parent[347] = 52, path[347] = 1 52 347
distance[348] = 2, parent[348] = 874, path[348] = 1 874 348
distance[349] = 2, parent[349] = 4, path[349] = 1 4 349
distance[350] = 3, parent[350] = 877, path[350] = 1 877 350
distance[351] = 2, parent[351] = 398, path[351] = 1 398 351
distance[352] = 3, parent[352] = 331, path[352] = 1 331 352
distance[353] = 3, parent[353] = 52, path[353] = 1 52 353
distance[354] = 2, parent[354] = 337, path[354] = 1 337 354
distance[355] = 2, parent[355] = 969, path[355] = 1 969 355
distance[356] = 2, parent[356] = 626, path[356] = 1 626 356
distance[357] = 3, parent[357] = 337, path[357] = 1 337 357
distance[358] = 3, parent[358] = 152, path[358] = 1 152 358
distance[359] = 2, parent[359] = 495, path[359] = 1 495 359
distance[360] = 2, parent[360] = 52, path[360] = 1 52 360
distance[361] = 3, parent[361] = 626, path[361] = 1 626 361
distance[362] = 2, parent[362] = 261, path[362] = 1 261 362
distance[363] = 2, parent[363] = 398, path[363] = 1 398 363
distance[364] = 2, parent[364] = 4, path[364] = 1 4 364
distance[365] = 2, parent[365] = 52, path[365] = 1 52 365
distance[366] = 2, parent[366] = 4, path[366] = 1 4 366
distance[367] = 2, parent[367] = 4, path[367] = 1 4 367
distance[368] = 2, parent[368] = 190, path[368] = 1 190 368
distance[369] = 2, parent[369] = 316, path[369] = 1 316 369
distance[370] = 2, parent[370] = 410, path[370] = 1 410 370
distance[371] = 2, parent[371] = 410, path[371] = 1 410 371
distance[372] = 2, parent[372] = 497, path[372] = 1 497 372
distance[373] = 2, parent[373] = 823, path[373] = 1 823 373
distance[374] = 2, parent[374] = 261, path[374] = 1 261 374
distance[375] = 2, parent[375] = 673, path[375] = 1 673 375
distance[376] = 2, parent[376] = 495, path[376] = 1 495 376
distance[377] = 2, parent[377] = 52, path[377] = 1 52 377
distance[378] = 2, parent[378] = 1, path[378] = 1 378
distance[379] = 2, parent[379] = 261, path[379] = 1 261 379
distance[380] = 2, parent[380] = 331, path[380] = 1 331 380
distance[381] = 2, parent[381] = 579, path[381] = 1 579 381
distance[382] = 2, parent[382] = 595, path[382] = 1 595 382
distance[383] = 2, parent[383] = 152, path[383] = 1 152 383
distance[384] = 2, parent[384] = 52, path[384] = 1 52 384
distance[385] = 2, parent[385] = 144, path[385] = 1 144 385
distance[386] = 3, parent[386] = 579, path[386] = 1 579 386
distance[387] = 2, parent[387] = 497, path[387] = 1 497 387
distance[388] = 2, parent[388] = 877, path[388] = 1 877 388
distance[389] = 2, parent[389] = 190, path[389] = 1 190 389
distance[390] = 2, parent[390] = 152, path[390] = 1 152 390
distance[391] = 2, parent[391] = 1, path[391] = 1 391
distance[392] = 2, parent[392] = 522, path[392] = 1 522 392
distance[393] = 2, parent[393] = 967, path[393] = 1 967 393
distance[394] = 2, parent[394] = 52, path[394] = 1 52 394
distance[395] = 2, parent[395] = 337, path[395] = 1 337 395
distance[396] = 2, parent[396] = 1, path[396] = 1 396
distance[397] = 2, parent[397] = 410, path[397] = 1 410 397
distance[398] = 1, parent[398] = 1, path[398] = 1 398
distance[399] = 2, parent[399] = 585, path[399] = 1 585 399
distance[400] = 3, parent[400] = 261, path[400] = 1 261 400
distance[401] = 3, parent[401] = 66, path[401] = 1 4 66 401
distance[402] = 2, parent[402] = 4, path[402] = 1 4 402
distance[403] = 2, parent[403] = 144, path[403] = 1 144 403
distance[404] = 2, parent[404] = 190, path[404] = 1 190 404
distance[405] = 2, parent[405] = 52, path[405] = 1 52 405
distance[406] = 2, parent[406] = 522, path[406] = 1 522 406
distance[407] = 3, parent[407] = 261, path[407] = 1 261 407
distance[408] = 3, parent[408] = 337, path[408] = 1 337 408
distance[409] = 3, parent[409] = 337, path[409] = 1 337 409
distance[410] = 1, parent[410] = 1, path[410] = 1 410
distance[411] = 2, parent[411] = 536, path[411] = 1 536 411
distance[412] = 2, parent[412] = 52, path[412] = 1 52 412
distance[413] = 2, parent[413] = 337, path[413] = 1 337 413
distance[414] = 3, parent[414] = 495, path[414] = 1 495 414
distance[415] = 3, parent[415] = 1, path[415] = 1 415
distance[416] = 2, parent[416] = 874, path[416] = 1 874 416
distance[417] = 2, parent[417] = 331, path[417] = 1 331 417
distance[418] = 2, parent[418] = 4, path[418] = 1 4 418
distance[419] = 2, parent[419] = 585, path[419] = 1 585 419
distance[420] = 2, parent[420] = 52, path[420] = 1 52 420
distance[421] = 2, parent[421] = 316, path[421] = 1 316 421
distance[422] = 2, parent[422] = 398, path[422] = 1 398 422
distance[423] = 2, parent[423] = 190, path[423] = 1 190 423
distance[424] = 3, parent[424] = 152, path[424] = 1 152 424
distance[425] = 3, parent[425] = 1, path[425] = 1 425
distance[426] = 2, parent[426] = 579, path[426] = 1 579 426
distance[427] = 2, parent[427] = 331, path[427] = 1 331 427
distance[428] = 3, parent[428] = 626, path[428] = 1 626 428
distance[429] = 3, parent[429] = 522, path[429] = 1 522 429
distance[430] = 2, parent[430] = 316, path[430] = 1 316 430
distance[431] = 2, parent[431] = 331, path[431] = 1 331 431
distance[432] = 2, parent[432] = 410, path[432] = 1 410 432
distance[433] = 3, parent[433] = 331, path[433] = 1 331 433
distance[434] = 2, parent[434] = 4, path[434] = 1 4 434
distance[435] = 2, parent[435] = 144, path[435] = 1 144 435
distance[436] = 2, parent[436] = 190, path[436] = 1 190 436
distance[437] = 3, parent[437] = 579, path[437] = 1 579 437
distance[438] = 2, parent[438] = 595, path[438] = 1 595 438
distance[439] = 2, parent[439] = 144, path[439] = 1 144 439
distance[440] = 3, parent[440] = 331, path[440] = 1 331 440
distance[441] = 2, parent[441] = 1, path[441] = 1 441
distance[442] = 2, parent[442] = 410, path[442] = 1 410 442
distance[443] = 2, parent[443] = 626, path[443] = 1 626 443
distance[444] = 2, parent[444] = 52, path[444] = 1 52 444
distance[445] = 2, parent[445] = 144, path[445] = 1 144 445
distance[446] = 3, parent[446] = 23, path[446] = 1 969 23 446
distance[447] = 2, parent[447] = 1, path[447] = 1 447
distance[448] = 3, parent[448] = 52, path[448] = 1 52 448
distance[449] = 2, parent[449] = 967, path[449] = 1 967 449
distance[450] = 2, parent[450] = 398, path[450] = 1 398 450
distance[451] = 3, parent[451] = 410, path[451] = 1 410 451
distance[452] = 2, parent[452] = 4, path[452] = 1 4 452
distance[453] = 2, parent[453] = 152, path[453] = 1 152 453
distance[454] = 2, parent[454] = 823, path[454] = 1 823 454
distance[455] = 2, parent[455] = 495, path[455] = 1 495 455
distance[456] = 2, parent[456] = 631, path[456] = 1 631 456
distance[457] = 2, parent[457] = 603, path[457] = 1 603 457
distance[458] = 2, parent[458] = 703, path[458] = 1 703 458
distance[459] = 2, parent[459] = 585, path[459] = 1 585 459
distance[460] = 2, parent[460] = 1, path[460] = 1 460
distance[461] = 2, parent[461] = 626, path[461] = 1 626 461
distance[462] = 2, parent[462] = 969, path[462] = 1 969 462
distance[463] = 2, parent[463] = 823, path[463] = 1 823 463
distance[464] = 2, parent[464] = 398, path[464] = 1 398 464
distance[465] = 2, parent[465] = 522, path[465] = 1 522 465
distance[466] = 2, parent[466] = 316, path[466] = 1 316 466
